Market,Language,Agents in DB,Events live (30d)
Bangladesh,English,155,11
Brazil,Português,64,5
Cambodia,ភាសាខ្មែរ,42,4
China,简体中文,704,18
Colombia,Español,104,4
Ghana,English,75,6
Hong Kong,繁體中文,133,19
India,English,576,72
Indonesia,Bahasa Indonesia,201,10
Japan,日本語,71,29
Kenya,English,95,19
Malaysia,Bahasa Melayu,155,16
Mexico,Español,54,5
Nepal,English,222,4
Nigeria,English,163,8
Pakistan,English,195,18
Saudi Arabia,English,107,3
Singapore,English,57,7
South Korea,한국어,88,7
Sri Lanka,English,175,11
Taiwan,繁體中文,133,18
Thailand,ภาษาไทย,66,22
Turkey,Türkçe,103,5
UAE,English,92,9
Vietnam,Tiếng Việt,211,6
